  0.0000   0.0000   0.0000
  0.1250   0.0000   0.0000
  0.2500   0.0000   0.0000
  0.3750   0.0000   0.0000
  0.5000   0.0000   0.0000
  0.6250   0.0000   0.0000
  0.7500   0.0000   0.0000
  0.8750   0.0000   0.0000
  1.0000   0.0000   0.0000

  0.0000   0.1250   0.0000
  0.1250   0.1250   0.0366
  0.2500   0.1250   0.0659
  0.3750   0.1250   0.0767
  0.5000   0.1250   0.0492
  0.6250   0.1250   0.0134
  0.7500   0.1250   0.0026
  0.8750   0.1250   0.0004
  1.0000   0.1250   0.0000

  0.0000   0.2500   0.0000
  0.1250   0.2500   0.0659
  0.2500   0.2500   0.1188
  0.3750   0.2500   0.1385
  0.5000   0.2500   0.0887
  0.6250   0.2500   0.0238
  0.7500   0.2500   0.0046
  0.8750   0.2500   0.0006
  1.0000   0.2500   0.0000

  0.0000   0.3750   0.0000
  0.1250   0.3750   0.0767
  0.2500   0.3750   0.1385
  0.3750   0.3750   0.1621
  0.5000   0.3750   0.1031
  0.6250   0.3750   0.0266
  0.7500   0.3750   0.0051
  0.8750   0.3750   0.0007
  1.0000   0.3750   0.0000

  0.0000   0.5000   0.0000
  0.1250   0.5000   0.0492
  0.2500   0.5000   0.0887
  0.3750   0.5000   0.1031
  0.5000   0.5000   0.0663
  0.6250   0.5000   0.0182
  0.7500   0.5000   0.0036
  0.8750   0.5000   0.0005
  1.0000   0.5000   0.0000

  0.0000   0.6250   0.0000
  0.1250   0.6250   0.0134
  0.2500   0.6250   0.0238
  0.3750   0.6250   0.0266
  0.5000   0.6250   0.0182
  0.6250   0.6250   0.0068
  0.7500   0.6250   0.0016
  0.8750   0.6250   0.0002
  1.0000   0.6250   0.0000

  0.0000   0.7500   0.0000
  0.1250   0.7500   0.0026
  0.2500   0.7500   0.0046
  0.3750   0.7500   0.0051
  0.5000   0.7500   0.0036
  0.6250   0.7500   0.0016
  0.7500   0.7500   0.0004
  0.8750   0.7500   0.0001
  1.0000   0.7500   0.0000

  0.0000   0.8750   0.0000
  0.1250   0.8750   0.0004
  0.2500   0.8750   0.0006
  0.3750   0.8750   0.0007
  0.5000   0.8750   0.0005
  0.6250   0.8750   0.0002
  0.7500   0.8750   0.0001
  0.8750   0.8750   0.0000
  1.0000   0.8750   0.0000

  0.0000   1.0000   0.0000
  0.1250   1.0000   0.0000
  0.2500   1.0000   0.0000
  0.3750   1.0000   0.0000
  0.5000   1.0000   0.0000
  0.6250   1.0000   0.0000
  0.7500   1.0000   0.0000
  0.8750   1.0000   0.0000
  1.0000   1.0000   0.0000

